Year,Country,Company,Developer_Type,Experience_Level,Avg_Salary_USD,Requirement_Rate,AI_Impact_Level,Automation_Risk,Remote_Work_Percentage,Job_Satisfaction,Work_Hours_Per_Week
2022,Germany,NVIDIA,AI Engineer,Senior,144878,100,High Demand,Low,51,10,39
2024,Canada,Infosys,AI Engineer,Mid,167528,84,High Demand,Low,70,9,41
2025,Australia,Wipro,ML Engineer,Junior,121550,97,High Demand,Low,80,9,35
2023,USA,Google,AI Engineer,Mid,192024,100,High Demand,Low,72,10,45
2023,Australia,Google,Backend Developer,Mid,123737,73,Moderate Impact,High,83,9,39
2025,Canada,Wipro,Data Scientist,Mid,152750,82,High Demand,Low,65,9,37
2024,Canada,NVIDIA,Data Scientist,Junior,106991,100,High Demand,Low,70,6,40
2023,UK,Meta,Data Scientist,Mid,143418,86,High Demand,Low,58,7,50
2025,Australia,Accenture,AI Engineer,Mid,195240,99,High Demand,Low,77,9,42
2023,Germany,NVIDIA,Data Analyst,Mid,99449,92,Growing Demand,Medium,75,9,48
2025,Australia,IBM,Full Stack Developer,Mid,91791,84,Moderate Impact,Medium,77,6,36
2025,UK,Infosys,Data Scientist,Junior,138249,82,High Demand,Low,82,10,42
2023,Canada,OpenAI,Backend Developer,Mid,88613,90,Moderate Impact,High,68,7,42
2025,India,Wipro,Full Stack Developer,Junior,35992,84,Moderate Impact,High,74,6,39
2023,Australia,Infosys,Mobile Developer,Mid,122810,78,Moderate Impact,High,64,8,40
2023,UK,Meta,Backend Developer,Junior,98880,93,Moderate Impact,Medium,79,9,43
2024,UK,Meta,Mobile Developer,Senior,102671,80,Moderate Impact,Medium,53,7,40
2024,USA,IBM,AI Engineer,Senior,225948,100,High Demand,Low,72,6,36
2023,USA,IBM,Frontend Developer,Senior,118831,63,Moderate Impact,Medium,55,6,46
2025,USA,Meta,Backend Developer,Junior,127470,74,Moderate Impact,Medium,52,7,41
2025,India,IBM,ML Engineer,Senior,22720,85,High Demand,Low,74,10,45
2022,UK,Wipro,Data Scientist,Mid,124409,100,High Demand,Low,75,10,35
2023,Germany,IBM,Data Analyst,Senior,84171,78,Growing Demand,Medium,78,6,50
2022,Germany,NVIDIA,AI Engineer,Senior,165820,98,High Demand,Low,50,9,37
2022,Australia,Infosys,AI Engineer,Mid,123114,100,High Demand,Low,72,7,44
2022,UK,Google,Data Analyst,Junior,71148,100,Growing Demand,Medium,74,6,43
2024,India,Google,Mobile Developer,Mid,34905,63,Moderate Impact,High,60,6,47
2025,Canada,Accenture,Full Stack Developer,Mid,84886,63,Moderate Impact,Medium,58,10,49
2023,Germany,OpenAI,AI Engineer,Senior,149715,98,High Demand,Low,81,10,44
2025,USA,Infosys,AI Engineer,Junior,163619,94,High Demand,Low,61,9,43
2024,Germany,Amazon,Frontend Developer,Junior,96844,59,Moderate Impact,High,65,6,38
2024,India,Wipro,Full Stack Developer,Senior,36188,70,Moderate Impact,High,84,10,39
2025,Germany,TCS,ML Engineer,Senior,125566,100,High Demand,Low,70,10,40
2023,USA,Infosys,Data Scientist,Senior,175182,85,High Demand,Low,70,8,40
2023,Canada,OpenAI,AI Engineer,Senior,116476,100,High Demand,Low,51,9,47
2025,India,OpenAI,Mobile Developer,Mid,25799,67,Moderate Impact,High,71,10,37
2023,India,Accenture,ML Engineer,Senior,50917,100,High Demand,Low,65,8,43
2023,Germany,NVIDIA,Frontend Developer,Mid,81684,76,Moderate Impact,Medium,84,7,42
2023,Australia,Accenture,Data Scientist,Junior,128942,83,High Demand,Low,72,6,45
2024,Canada,Amazon,Full Stack Developer,Senior,108240,63,Moderate Impact,High,58,6,40
2022,Australia,OpenAI,Data Scientist,Senior,147942,100,High Demand,Low,63,10,41
2023,India,Infosys,Full Stack Developer,Junior,24182,85,Moderate Impact,High,64,9,38
2025,Germany,Google,AI Engineer,Mid,109966,90,High Demand,Low,65,6,45
2022,USA,OpenAI,AI Engineer,Junior,135435,100,High Demand,Low,69,9,43
2023,UK,NVIDIA,ML Engineer,Mid,106945,89,High Demand,Low,88,9,37
2023,India,Wipro,ML Engineer,Mid,20915,89,High Demand,Low,78,9,42
2025,UK,Meta,AI Engineer,Mid,131439,87,High Demand,Low,69,10,44
2022,Australia,IBM,Backend Developer,Junior,95201,67,Moderate Impact,High,77,7,40
2024,Canada,IBM,Full Stack Developer,Mid,91121,69,Moderate Impact,Medium,55,6,36
2024,Canada,Infosys,AI Engineer,Senior,148413,83,High Demand,Low,90,9,43
2023,Australia,IBM,AI Engineer,Senior,132394,93,High Demand,Low,75,10,42
2024,Australia,TCS,Data Scientist,Mid,131451,76,High Demand,Low,89,6,44
2025,Australia,Infosys,Backend Developer,Junior,99023,67,Moderate Impact,Medium,80,9,35
2025,India,OpenAI,Full Stack Developer,Senior,13865,72,Moderate Impact,Medium,82,9,42
2025,Canada,Meta,Frontend Developer,Junior,106256,79,Moderate Impact,Medium,54,8,41
2022,UK,Infosys,Full Stack Developer,Mid,70748,69,Moderate Impact,High,59,10,40
2024,UK,NVIDIA,ML Engineer,Junior,146638,79,High Demand,Low,54,8,35
2022,Canada,Meta,Full Stack Developer,Junior,103035,52,Moderate Impact,Medium,55,8,38
2024,Canada,Accenture,ML Engineer,Senior,127840,76,High Demand,Low,59,9,45
2023,Australia,Wipro,Backend Developer,Senior,87160,72,Moderate Impact,Medium,52,10,41
2023,Germany,Microsoft,ML Engineer,Mid,106981,97,High Demand,Low,59,10,44
2023,Germany,Microsoft,Data Scientist,Junior,151961,91,High Demand,Low,66,7,48
2024,Australia,Amazon,Backend Developer,Mid,118571,94,Moderate Impact,Medium,52,6,48
2025,Canada,NVIDIA,AI Engineer,Senior,125095,99,High Demand,Low,57,8,42
2022,Australia,Accenture,Data Scientist,Junior,122099,100,High Demand,Low,71,7,44
2023,India,Amazon,Data Analyst,Mid,19197,100,Growing Demand,Medium,62,8,47
2024,Australia,Wipro,AI Engineer,Junior,182389,95,High Demand,Low,68,7,38
2025,USA,Google,ML Engineer,Senior,145492,80,High Demand,Low,52,6,45
2025,UK,NVIDIA,Mobile Developer,Senior,104529,62,Moderate Impact,Medium,56,9,40
2022,Germany,Microsoft,ML Engineer,Junior,110225,100,High Demand,Low,78,10,36
2023,Germany,IBM,Backend Developer,Mid,73801,88,Moderate Impact,High,71,8,41
2024,Canada,NVIDIA,ML Engineer,Mid,109906,96,High Demand,Low,54,9,37
2023,India,NVIDIA,AI Engineer,Mid,52385,81,High Demand,Low,52,10,43
2024,Germany,IBM,Data Scientist,Senior,126247,100,High Demand,Low,81,9,44
2025,Canada,Google,Frontend Developer,Junior,115951,72,Moderate Impact,Medium,51,6,46
2022,India,IBM,Backend Developer,Junior,13811,57,Moderate Impact,High,70,10,36
2025,USA,Amazon,Backend Developer,Mid,160744,62,Moderate Impact,Medium,58,8,35
2024,UK,Google,Mobile Developer,Senior,106656,80,Moderate Impact,Medium,67,6,39
2025,USA,Accenture,ML Engineer,Junior,145706,91,High Demand,Low,78,6,45
2022,Australia,Microsoft,Frontend Developer,Junior,99955,64,Moderate Impact,Medium,80,7,46
2022,Canada,Infosys,Full Stack Developer,Junior,87142,68,Moderate Impact,Medium,56,6,48
2022,USA,Microsoft,ML Engineer,Senior,200146,73,High Demand,Low,84,10,42
2022,India,OpenAI,Data Scientist,Junior,23772,96,High Demand,Low,61,7,35
2023,India,NVIDIA,ML Engineer,Senior,33339,73,High Demand,Low,56,9,36
2024,UK,Accenture,Data Analyst,Senior,92076,98,Growing Demand,Medium,89,9,47
2025,UK,Infosys,Backend Developer,Senior,103180,87,Moderate Impact,Medium,56,9,43
2024,Australia,Infosys,Frontend Developer,Junior,104441,82,Moderate Impact,High,71,10,40
2025,USA,Wipro,Backend Developer,Senior,142855,80,Moderate Impact,Medium,87,7,45
2024,USA,Amazon,Full Stack Developer,Mid,112159,75,Moderate Impact,High,63,10,49
2023,UK,Google,Mobile Developer,Junior,90043,57,Moderate Impact,Medium,76,7,46
2025,UK,Infosys,Frontend Developer,Junior,82548,82,Moderate Impact,High,66,7,46
2023,Canada,Accenture,Data Scientist,Junior,132871,100,High Demand,Low,62,10,39
2023,Australia,Amazon,Data Analyst,Junior,105598,75,Growing Demand,Medium,67,10,43
2023,USA,Google,ML Engineer,Senior,150119,98,High Demand,Low,66,6,41
2025,Germany,TCS,Mobile Developer,Mid,107339,86,Moderate Impact,High,77,6,42
2022,Canada,NVIDIA,Mobile Developer,Junior,79741,82,Moderate Impact,Medium,56,6,42
2024,UK,Wipro,AI Engineer,Junior,135749,81,High Demand,Low,72,9,35
2022,India,Meta,Frontend Developer,Mid,25614,62,Moderate Impact,High,62,6,41
2023,Germany,Amazon,Backend Developer,Mid,125061,87,Moderate Impact,High,66,9,45
2022,USA,TCS,Data Analyst,Mid,108133,68,Growing Demand,Medium,68,6,49
2022,India,NVIDIA,AI Engineer,Junior,33164,100,High Demand,Low,85,8,42
2022,UK,Microsoft,Data Scientist,Mid,85276,89,High Demand,Low,90,9,49
2025,Germany,NVIDIA,Mobile Developer,Senior,135299,65,Moderate Impact,Medium,75,8,44
2024,UK,Amazon,Data Scientist,Senior,162548,100,High Demand,Low,86,9,39
2023,UK,OpenAI,Data Analyst,Senior,72976,79,Growing Demand,Medium,85,9,47
2022,UK,Wipro,Data Analyst,Senior,76515,92,Growing Demand,Medium,65,9,46
2022,USA,Infosys,Frontend Developer,Senior,115272,75,Moderate Impact,Medium,84,6,49
2025,India,Accenture,Data Scientist,Mid,35437,82,High Demand,Low,73,6,40
2023,Australia,OpenAI,Mobile Developer,Junior,121650,84,Moderate Impact,Medium,73,8,40
2023,USA,Google,Full Stack Developer,Mid,145272,58,Moderate Impact,Medium,78,10,45
2025,USA,Microsoft,AI Engineer,Mid,157239,100,High Demand,Low,71,10,48
2024,UK,Google,AI Engineer,Mid,122481,100,High Demand,Low,81,9,38
2025,Germany,Accenture,Mobile Developer,Mid,117639,74,Moderate Impact,High,55,6,48
2023,Canada,IBM,Mobile Developer,Mid,98597,62,Moderate Impact,Medium,70,6,36
2022,Australia,IBM,Full Stack Developer,Junior,81971,91,Moderate Impact,Medium,80,7,41
2025,USA,IBM,Full Stack Developer,Mid,166057,72,Moderate Impact,High,76,7,43
2024,USA,Infosys,Data Analyst,Junior,155719,96,Growing Demand,Medium,66,7,37
2023,Canada,OpenAI,AI Engineer,Mid,108516,100,High Demand,Low,83,8,44
2023,Australia,NVIDIA,Full Stack Developer,Junior,110192,92,Moderate Impact,Medium,85,10,48
2024,Canada,Meta,Data Analyst,Junior,114367,93,Growing Demand,Medium,68,8,47
2025,Canada,Microsoft,Backend Developer,Junior,115933,84,Moderate Impact,High,88,7,36
2022,USA,Google,ML Engineer,Mid,131098,100,High Demand,Low,85,10,49
2025,Germany,TCS,ML Engineer,Senior,166866,93,High Demand,Low,65,8,44
2023,UK,NVIDIA,Frontend Developer,Junior,74732,64,Moderate Impact,High,72,6,38
2024,India,Google,Backend Developer,Senior,36851,61,Moderate Impact,Medium,52,10,35
2023,Canada,IBM,AI Engineer,Mid,124372,81,High Demand,Low,85,6,43
2022,Germany,IBM,Data Scientist,Senior,142160,100,High Demand,Low,51,10,40
2024,Australia,Google,AI Engineer,Mid,147384,87,High Demand,Low,73,7,35
2025,India,Google,Data Scientist,Junior,33711,100,High Demand,Low,81,9,45
2025,India,TCS,ML Engineer,Mid,21083,77,High Demand,Low,50,6,37
2024,USA,Wipro,AI Engineer,Senior,172004,96,High Demand,Low,59,8,40
2023,Canada,Meta,Backend Developer,Mid,86646,86,Moderate Impact,High,73,6,38
2024,USA,Meta,Data Scientist,Senior,155090,100,High Demand,Low,52,7,46
2023,Canada,OpenAI,Mobile Developer,Junior,88204,75,Moderate Impact,Medium,85,10,40
2022,Canada,Google,Data Analyst,Senior,108240,88,Growing Demand,Medium,72,6,42
2022,India,NVIDIA,Data Scientist,Mid,52524,78,High Demand,Low,56,10,38
2025,USA,Google,Frontend Developer,Mid,163985,69,Moderate Impact,High,64,8,39
2025,India,TCS,Data Analyst,Junior,21079,97,Growing Demand,Medium,89,9,44
2022,UK,Infosys,ML Engineer,Mid,87528,99,High Demand,Low,64,7,47
2025,Germany,NVIDIA,Backend Developer,Mid,118231,65,Moderate Impact,High,60,8,35
2023,Australia,IBM,Mobile Developer,Junior,103100,61,Moderate Impact,Medium,87,10,49
2025,UK,Accenture,Frontend Developer,Senior,105680,64,Moderate Impact,Medium,56,9,43
2025,Canada,OpenAI,Data Scientist,Junior,120549,100,High Demand,Low,74,8,39
2023,USA,Amazon,Frontend Developer,Senior,158728,55,Moderate Impact,High,81,7,50
2022,USA,Wipro,Full Stack Developer,Senior,100893,74,Moderate Impact,High,83,8,46
2023,India,IBM,Frontend Developer,Junior,28899,61,Moderate Impact,High,87,9,48
2025,USA,TCS,Frontend Developer,Junior,153796,83,Moderate Impact,Medium,57,8,43
2022,UK,NVIDIA,Backend Developer,Senior,73325,73,Moderate Impact,High,55,6,36
2025,Australia,TCS,AI Engineer,Senior,115429,84,High Demand,Low,78,10,41
2024,India,Infosys,AI Engineer,Junior,50385,78,High Demand,Low,82,10,38
2025,Australia,Meta,Frontend Developer,Mid,101084,76,Moderate Impact,Medium,74,6,37
2023,USA,Amazon,Data Scientist,Senior,181235,99,High Demand,Low,84,7,36
2023,USA,Microsoft,Mobile Developer,Mid,129539,88,Moderate Impact,Medium,55,7,35
2022,India,NVIDIA,Data Scientist,Senior,36473,100,High Demand,Low,81,9,46
2022,Australia,Infosys,Data Scientist,Mid,136862,87,High Demand,Low,51,8,42
2024,UK,Wipro,AI Engineer,Mid,121924,94,High Demand,Low,64,10,37
2025,Canada,OpenAI,AI Engineer,Senior,126638,100,High Demand,Low,56,6,36
2023,USA,Meta,Data Analyst,Senior,134815,72,Growing Demand,Medium,69,7,37
2025,USA,Infosys,ML Engineer,Junior,181197,100,High Demand,Low,56,6,46
2022,Canada,Meta,Full Stack Developer,Junior,74963,75,Moderate Impact,High,53,9,41
2024,India,Amazon,Backend Developer,Junior,32558,70,Moderate Impact,Medium,58,10,45
2025,Australia,Meta,AI Engineer,Senior,170769,86,High Demand,Low,87,6,49
2022,Canada,Wipro,Full Stack Developer,Junior,101220,74,Moderate Impact,Medium,80,9,37
2023,Germany,IBM,Backend Developer,Senior,101447,83,Moderate Impact,High,52,7,42
2022,Germany,TCS,AI Engineer,Senior,117461,100,High Demand,Low,53,6,41
2023,Canada,Meta,Full Stack Developer,Junior,90398,56,Moderate Impact,High,90,6,40
2024,UK,Wipro,Backend Developer,Mid,86970,83,Moderate Impact,High,65,9,39
2022,Canada,Wipro,Full Stack Developer,Junior,87148,73,Moderate Impact,Medium,84,6,42
2023,UK,Google,Mobile Developer,Junior,97428,62,Moderate Impact,High,50,7,41
2025,Germany,Google,Full Stack Developer,Senior,96447,86,Moderate Impact,Medium,90,7,44
2022,USA,IBM,Backend Developer,Junior,94774,63,Moderate Impact,Medium,90,10,40
2024,India,TCS,AI Engineer,Junior,24898,100,High Demand,Low,64,6,39
2024,Germany,Microsoft,Frontend Developer,Junior,88328,74,Moderate Impact,Medium,82,10,47
2022,Australia,Google,Data Analyst,Mid,107992,89,Growing Demand,Medium,89,9,40
2023,Canada,NVIDIA,Data Analyst,Senior,89628,84,Growing Demand,Medium,86,10,43
2022,Canada,NVIDIA,Full Stack Developer,Senior,83503,67,Moderate Impact,Medium,63,7,47
2022,USA,OpenAI,AI Engineer,Junior,157747,83,High Demand,Low,59,8,35
2023,Australia,OpenAI,Full Stack Developer,Senior,112606,78,Moderate Impact,High,80,6,45
2024,Australia,Google,Frontend Developer,Junior,123154,93,Moderate Impact,High,53,10,43
2025,India,Wipro,Frontend Developer,Junior,28971,67,Moderate Impact,Medium,83,10,36
2023,India,OpenAI,Full Stack Developer,Junior,37250,75,Moderate Impact,High,62,8,47
2022,Canada,Amazon,ML Engineer,Mid,132253,77,High Demand,Low,53,10,43
2024,Australia,TCS,Backend Developer,Junior,126329,72,Moderate Impact,Medium,76,9,42
2022,Canada,TCS,Data Scientist,Junior,105088,98,High Demand,Low,50,9,50
2023,USA,NVIDIA,Data Scientist,Junior,133101,100,High Demand,Low,71,6,37
2023,UK,TCS,Full Stack Developer,Mid,90720,60,Moderate Impact,High,88,9,39
2024,Australia,Infosys,AI Engineer,Mid,162254,99,High Demand,Low,79,7,46
2025,Canada,Google,Mobile Developer,Junior,106985,77,Moderate Impact,Medium,82,10,35
2024,USA,Amazon,Full Stack Developer,Senior,140564,77,Moderate Impact,Medium,69,6,45
2024,India,IBM,Full Stack Developer,Junior,29959,82,Moderate Impact,High,86,8,37
2024,India,Meta,Mobile Developer,Junior,22025,61,Moderate Impact,Medium,82,7,50
2022,Germany,Wipro,ML Engineer,Senior,122621,99,High Demand,Low,50,7,41
2023,Germany,OpenAI,Backend Developer,Mid,84238,60,Moderate Impact,High,74,6,46
2025,Australia,Wipro,Backend Developer,Junior,107738,70,Moderate Impact,Medium,57,8,45
2024,Canada,Google,ML Engineer,Junior,132810,100,High Demand,Low,76,7,45
2024,Australia,Google,Frontend Developer,Senior,128614,63,Moderate Impact,Medium,80,10,35
2023,Germany,OpenAI,AI Engineer,Mid,109350,100,High Demand,Low,89,7,40
2024,UK,Accenture,Data Scientist,Senior,131789,100,High Demand,Low,68,9,45
2025,Australia,OpenAI,Frontend Developer,Junior,116956,70,Moderate Impact,High,80,7,47
2024,India,TCS,AI Engineer,Senior,53038,83,High Demand,Low,88,9,38
2023,UK,Microsoft,Data Analyst,Senior,81138,67,Growing Demand,Medium,89,6,44
2023,Canada,Accenture,Backend Developer,Mid,97447,62,Moderate Impact,High,87,10,39
2023,Canada,Wipro,Data Scientist,Senior,142574,100,High Demand,Low,75,7,35
2025,Canada,TCS,AI Engineer,Senior,175189,100,High Demand,Low,53,9,43
2025,Germany,TCS,Full Stack Developer,Mid,102044,66,Moderate Impact,Medium,87,7,47
2023,India,Infosys,AI Engineer,Junior,46586,94,High Demand,Low,54,6,42
2023,Germany,Meta,Data Scientist,Senior,124039,87,High Demand,Low,69,9,43
2025,USA,Microsoft,Data Analyst,Senior,142114,79,Growing Demand,Medium,76,6,50
2022,Canada,IBM,Backend Developer,Senior,106416,57,Moderate Impact,Medium,52,9,50
2025,USA,Microsoft,Frontend Developer,Junior,114787,73,Moderate Impact,Medium,81,8,46
2025,Germany,OpenAI,Frontend Developer,Mid,119588,57,Moderate Impact,High,77,6,49
2024,UK,OpenAI,Backend Developer,Senior,96296,85,Moderate Impact,High,86,10,45
2025,Canada,Wipro,ML Engineer,Mid,131584,100,High Demand,Low,62,8,42
2025,USA,Infosys,Data Scientist,Junior,175605,100,High Demand,Low,65,6,49
2024,UK,Accenture,Mobile Developer,Mid,74702,80,Moderate Impact,High,69,10,44
2024,India,Microsoft,Frontend Developer,Senior,33974,60,Moderate Impact,High,77,8,45
2025,Australia,IBM,ML Engineer,Mid,111867,80,High Demand,Low,58,8,41
2024,India,Microsoft,Data Scientist,Junior,34187,90,High Demand,Low,78,10,45
2022,Canada,IBM,Frontend Developer,Senior,82455,68,Moderate Impact,Medium,89,8,44
2022,Australia,Accenture,Frontend Developer,Mid,110850,67,Moderate Impact,High,72,8,50
2022,Australia,OpenAI,Mobile Developer,Junior,87132,59,Moderate Impact,Medium,79,8,47
2023,USA,Meta,Data Scientist,Junior,200817,100,High Demand,Low,71,8,40
2023,Canada,OpenAI,Mobile Developer,Senior,110041,66,Moderate Impact,High,55,10,43
2025,India,Microsoft,Mobile Developer,Mid,23701,79,Moderate Impact,High,68,8,46
2025,Germany,Infosys,AI Engineer,Senior,155743,91,High Demand,Low,53,7,42
2025,USA,TCS,AI Engineer,Senior,156313,100,High Demand,Low,53,6,41
2023,Germany,Google,Frontend Developer,Junior,81372,70,Moderate Impact,Medium,67,7,35
2024,Germany,IBM,Data Analyst,Junior,81037,99,Growing Demand,Medium,52,9,39
2025,Germany,Microsoft,Data Analyst,Senior,111291,100,Growing Demand,Medium,51,9,43
2025,USA,IBM,Backend Developer,Mid,173338,55,Moderate Impact,High,60,9,39
2025,USA,Wipro,Backend Developer,Mid,145924,67,Moderate Impact,Medium,68,7,43
2022,Canada,Accenture,AI Engineer,Junior,129074,80,High Demand,Low,61,8,50
2024,Australia,NVIDIA,AI Engineer,Senior,107224,91,High Demand,Low,55,9,47
2024,USA,Wipro,Backend Developer,Mid,115987,72,Moderate Impact,High,65,6,43
2025,India,TCS,Full Stack Developer,Junior,30005,65,Moderate Impact,Medium,69,7,35
2024,Australia,Infosys,Data Analyst,Mid,87997,100,Growing Demand,Medium,76,7,44
2022,India,IBM,Data Analyst,Mid,17758,99,Growing Demand,Medium,79,10,36
2024,UK,OpenAI,Data Analyst,Mid,68348,83,Growing Demand,Medium,66,7,48
2024,Australia,TCS,Frontend Developer,Mid,98309,55,Moderate Impact,High,73,7,37
2023,Canada,NVIDIA,ML Engineer,Junior,117727,82,High Demand,Low,73,9,49
2022,Australia,NVIDIA,Data Scientist,Senior,139137,89,High Demand,Low,88,10,49
2025,Canada,IBM,Frontend Developer,Junior,107213,68,Moderate Impact,Medium,60,7,39
2023,India,OpenAI,ML Engineer,Mid,25502,91,High Demand,Low,86,8,43
2023,Canada,Accenture,Data Scientist,Senior,119144,100,High Demand,Low,57,6,43
2024,Germany,Accenture,Data Analyst,Junior,94496,100,Growing Demand,Medium,78,7,41
2022,UK,Amazon,AI Engineer,Senior,100093,87,High Demand,Low,62,9,45
2022,Germany,IBM,Data Analyst,Mid,73941,78,Growing Demand,Medium,79,7,38
2023,USA,IBM,Frontend Developer,Senior,140135,66,Moderate Impact,Medium,58,6,45
2025,Canada,Microsoft,Data Scientist,Mid,151828,73,High Demand,Low,56,10,38
2022,USA,Wipro,Frontend Developer,Mid,111169,82,Moderate Impact,Medium,70,9,36
2023,UK,Amazon,ML Engineer,Junior,96194,100,High Demand,Low,51,10,45
2024,UK,Meta,Frontend Developer,Senior,91194,73,Moderate Impact,High,53,7,37
2025,India,Google,Backend Developer,Senior,42145,68,Moderate Impact,Medium,62,7,40
2024,USA,OpenAI,Data Analyst,Junior,141025,89,Growing Demand,Medium,87,10,47
2022,USA,Accenture,Backend Developer,Junior,151479,88,Moderate Impact,High,77,7,46
2023,Germany,NVIDIA,Frontend Developer,Junior,107686,80,Moderate Impact,High,90,9,48
2022,UK,NVIDIA,Data Scientist,Senior,113261,96,High Demand,Low,64,9,36
2023,Germany,Meta,ML Engineer,Junior,150682,100,High Demand,Low,76,9,36
2023,India,Microsoft,Data Scientist,Mid,39793,89,High Demand,Low,69,7,40
2023,UK,Wipro,Full Stack Developer,Mid,84110,69,Moderate Impact,Medium,70,6,49
2022,India,NVIDIA,Full Stack Developer,Junior,35278,86,Moderate Impact,Medium,90,7,45
2022,India,Google,Data Scientist,Junior,22773,95,High Demand,Low,80,7,39
2023,UK,Infosys,Data Scientist,Mid,102077,70,High Demand,Low,77,6,37
2023,USA,NVIDIA,ML Engineer,Junior,194246,100,High Demand,Low,62,8,49
2025,Germany,IBM,Frontend Developer,Junior,93346,72,Moderate Impact,High,50,8,42
2025,Canada,OpenAI,Mobile Developer,Junior,87689,84,Moderate Impact,Medium,52,8,43
2023,UK,TCS,Data Analyst,Senior,92166,89,Growing Demand,Medium,68,8,48
2022,India,Meta,Backend Developer,Senior,39709,73,Moderate Impact,High,81,10,45
2024,USA,IBM,Backend Developer,Junior,115148,63,Moderate Impact,Medium,68,8,35
2025,Canada,Wipro,Full Stack Developer,Junior,110611,65,Moderate Impact,High,54,8,47
2024,Germany,Amazon,Data Scientist,Mid,153966,100,High Demand,Low,53,6,47
2023,USA,Microsoft,Data Scientist,Mid,199256,97,High Demand,Low,63,10,35
2024,UK,Meta,Data Analyst,Mid,91545,97,Growing Demand,Medium,74,6,44
